Date,Open,High,Low,Close,Adj Close,Volume
2022-04-06,84.720001,84.809998,82.750000,83.129997,80.863792,10493200
2022-04-07,82.879997,83.610001,81.400002,83.129997,80.863792,11902900
2022-04-08,83.529999,84.769997,82.959999,84.059998,81.768440,6937500
2022-04-11,83.580002,85.820000,83.019997,84.019997,81.729530,8290400
2022-04-12,83.760002,85.980003,83.540001,83.930000,81.641983,8057300
2022-04-13,82.930000,84.250000,82.779999,84.129997,81.836533,8760300
2022-04-14,86.010002,87.900002,84.589996,84.760002,82.449356,16348400
2022-04-18,84.389999,87.180000,84.320000,86.480003,84.122475,7897500
2022-04-19,87.010002,89.110001,86.919998,88.910004,86.486229,12637700
2022-04-20,89.610001,91.580002,89.610001,90.610001,88.139885,11828400
2022-04-21,91.529999,92.930000,88.709999,88.910004,86.486229,9563900
2022-04-22,88.120003,88.209999,84.629997,84.739998,82.429901,11455400
2022-04-25,84.029999,85.309998,82.889999,85.050003,82.731453,11577600
2022-04-26,84.290001,85.220001,82.279999,82.370003,80.124519,10062000
2022-04-27,82.379997,83.669998,81.809998,82.209999,79.968880,9522900
2022-04-28,82.699997,83.849998,81.610001,83.400002,81.823143,6974600
2022-04-29,83.059998,83.739998,80.309998,80.589996,79.066261,8097300
2022-05-02,80.589996,82.139999,80.029999,81.959999,80.410362,8737100
2022-05-03,82.489998,84.809998,82.250000,83.750000,82.166527,9430500
2022-05-04,84.070000,87.529999,83.940002,87.220001,85.570915,10495000
2022-05-05,85.750000,86.160004,83.410004,84.940002,83.334030,8556500
2022-05-06,84.139999,84.570000,82.309998,84.230003,82.637451,7333600
2022-05-09,82.540001,83.239998,80.720001,81.150002,79.615685,11161000
2022-05-10,82.010002,82.660004,78.720001,80.260002,78.742508,9261000
2022-05-11,80.070000,82.059998,78.760002,78.889999,77.398407,8060000
2022-05-12,78.050003,79.519997,76.750000,78.589996,77.104073,10315600
2022-05-13,79.599998,81.500000,79.470001,80.540001,79.017220,7948000
2022-05-16,80.389999,80.930000,78.849998,79.900002,78.389313,5703600
2022-05-17,81.639999,83.260002,81.330002,82.930000,81.362022,6507100
2022-05-18,81.900002,82.220001,80.320000,80.690002,79.164383,5949400
2022-05-19,79.730003,81.180000,79.500000,79.959999,78.448181,7852800
2022-05-20,80.620003,81.209999,77.570000,79.370003,77.869339,8705000
2022-05-23,80.790001,83.339996,80.099998,82.309998,80.753738,7787700
2022-05-24,81.800003,82.220001,80.050003,81.959999,80.410362,6225700
2022-05-25,81.279999,82.820000,81.000000,82.230003,80.675262,6747800
2022-05-26,83.349998,85.550003,83.239998,85.000000,83.392891,8573400
2022-05-27,85.570000,86.480003,84.919998,86.449997,84.815468,6300000
2022-05-31,85.459999,86.820000,84.930000,86.139999,84.511330,10780700
